epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,6974.52,0.93769,0.80624,1.37541,0.91871,0.86869,0.93027,0.73357,0.8355,0.5878,1.29018,0.003763,0.003763,0.003763
65,7084.42,0.93832,0.81931,1.37639,0.91074,0.8612,0.92152,0.73144,0.83059,0.59895,1.27803,0.003664,0.003664,0.003664
66,7194.2,0.93224,0.80138,1.36922,0.92364,0.8656,0.92778,0.7339,0.82889,0.58234,1.27682,0.003565,0.003565,0.003565
67,7303.07,0.92961,0.79962,1.37227,0.92364,0.8656,0.92837,0.73296,0.82927,0.58288,1.27567,0.003466,0.003466,0.003466
68,7411.72,0.92154,0.78672,1.3702,0.91625,0.8738,0.93067,0.73531,0.82635,0.56622,1.27365,0.003367,0.003367,0.003367
69,7520.02,0.93377,0.80624,1.37442,0.92483,0.86465,0.92965,0.73658,0.82334,0.57998,1.26951,0.003268,0.003268,0.003268
70,7628.78,0.92187,0.79182,1.361,0.91766,0.87213,0.93316,0.7449,0.81442,0.56955,1.25974,0.003169,0.003169,0.003169
71,7737.65,0.92022,0.78036,1.3646,0.92651,0.8613,0.93169,0.74126,0.81951,0.57342,1.26852,0.00307,0.00307,0.00307
72,7846.8,0.9136,0.78253,1.35842,0.91566,0.86668,0.92688,0.74123,0.81383,0.58308,1.25892,0.002971,0.002971,0.002971
73,7956.82,0.90196,0.77086,1.35257,0.92484,0.86528,0.93148,0.74094,0.81808,0.57694,1.26266,0.002872,0.002872,0.002872
74,8066.39,0.90763,0.77435,1.35309,0.9317,0.8648,0.93612,0.74882,0.81713,0.56239,1.26249,0.002773,0.002773,0.002773
75,8176.81,0.91276,0.76553,1.35934,0.9258,0.86778,0.93235,0.74434,0.82035,0.57013,1.26683,0.002674,0.002674,0.002674
76,8287.93,0.90235,0.76428,1.34682,0.9192,0.87106,0.93088,0.74432,0.81202,0.56488,1.25767,0.002575,0.002575,0.002575
77,8400.47,0.89063,0.75101,1.34119,0.90808,0.88196,0.93451,0.74982,0.80327,0.55885,1.25157,0.002476,0.002476,0.002476
78,8511.21,0.89655,0.7615,1.34526,0.91283,0.87525,0.93312,0.74962,0.80238,0.5649,1.25377,0.002377,0.002377,0.002377
79,8623.39,0.89163,0.74288,1.33624,0.91953,0.87276,0.93561,0.75333,0.79563,0.5496,1.24839,0.002278,0.002278,0.002278
80,8733.66,0.8893,0.74817,1.3419,0.92518,0.86542,0.93268,0.74812,0.79911,0.55524,1.25265,0.002179,0.002179,0.002179
81,8843.13,0.88506,0.73528,1.33668,0.91014,0.88492,0.9329,0.75077,0.79731,0.55732,1.24551,0.00208,0.00208,0.00208
82,8952.5,0.87634,0.72697,1.32972,0.92094,0.87145,0.93331,0.75114,0.80044,0.55078,1.25078,0.001981,0.001981,0.001981
83,9062.33,0.88321,0.73006,1.33165,0.90633,0.87931,0.93362,0.74859,0.80117,0.54922,1.24877,0.001882,0.001882,0.001882
84,9172.21,0.88237,0.737,1.33385,0.92278,0.87342,0.93552,0.75153,0.79745,0.54467,1.24685,0.001783,0.001783,0.001783
85,9283.38,0.87686,0.72518,1.32858,0.92289,0.8728,0.93507,0.75094,0.79659,0.55111,1.24555,0.001684,0.001684,0.001684
86,9394.31,0.87187,0.7192,1.32337,0.91439,0.88247,0.93446,0.75175,0.79695,0.54272,1.24656,0.001585,0.001585,0.001585
87,9505.25,0.87319,0.72522,1.32968,0.92408,0.88171,0.93633,0.75296,0.79639,0.53402,1.24699,0.001486,0.001486,0.001486
88,9615.78,0.86437,0.71342,1.31851,0.91938,0.88494,0.93505,0.7533,0.79837,0.5344,1.24681,0.001387,0.001387,0.001387
89,9725.75,0.86122,0.714,1.3175,0.92424,0.88148,0.9347,0.75021,0.7965,0.53707,1.24488,0.001288,0.001288,0.001288
90,9836.94,0.86528,0.70958,1.31892,0.92436,0.87643,0.93565,0.75368,0.79166,0.5334,1.24115,0.001189,0.001189,0.001189
91,9952.09,0.68767,0.43866,1.19567,0.92001,0.8825,0.93704,0.75569,0.78765,0.52953,1.23809,0.00109,0.00109,0.00109
92,10004.3,0.67676,0.41328,1.18464,0.91941,0.88273,0.93695,0.75675,0.78324,0.5229,1.23463,0.000991,0.000991,0.000991
93,10055.2,0.67047,0.40688,1.1797,0.91471,0.8846,0.93748,0.7601,0.78153,0.52389,1.23459,0.000892,0.000892,0.000892
94,10102.6,0.66415,0.39832,1.17483,0.91808,0.88598,0.93794,0.76161,0.77995,0.52246,1.23595,0.000793,0.000793,0.000793
95,10156.6,0.6574,0.3912,1.16493,0.91682,0.88817,0.93879,0.76276,0.77776,0.52106,1.23459,0.000694,0.000694,0.000694
96,10208.2,0.64835,0.38962,1.16325,0.91847,0.88664,0.93865,0.76254,0.77638,0.51942,1.23449,0.000595,0.000595,0.000595
97,10261.1,0.64399,0.38248,1.15507,0.91462,0.88952,0.93898,0.76318,0.77533,0.51607,1.23481,0.000496,0.000496,0.000496
98,10313.8,0.63952,0.38039,1.15398,0.91833,0.89097,0.94022,0.76452,0.77652,0.51393,1.23493,0.000397,0.000397,0.000397
99,10370.8,0.63941,0.37655,1.15334,0.9201,0.89252,0.9406,0.76522,0.77571,0.51044,1.23421,0.000298,0.000298,0.000298
100,10424.9,0.6314,0.36774,1.14598,0.91977,0.89449,0.94092,0.76743,0.77476,0.51003,1.23349,0.000199,0.000199,0.000199
