                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.84223,                0.84033,                 1.3027,                0.92395,                0.92465,                0.95966,                0.82474,                0.58532,                0.42398,                 1.0632,               0.005248,               0.005248,               0.005248
                     50,                0.84158,                0.83024,                 1.2993,                0.92081,                0.91883,                0.95698,                0.82084,                0.59357,                0.43555,                 1.0685,               0.005149,               0.005149,               0.005149
                     51,                0.83199,                0.82477,                 1.2924,                0.90646,                0.92992,                0.96073,                0.82554,                0.58354,                0.42503,                 1.0592,                0.00505,                0.00505,                0.00505
                     52,                0.83677,                0.83136,                 1.2962,                0.93011,                0.91623,                0.96162,                0.82923,                0.58521,                0.42052,                 1.0599,               0.004951,               0.004951,               0.004951
                     53,                0.83397,                0.82305,                  1.293,                0.92784,                 0.9115,                0.95791,                0.82594,                0.57962,                0.42295,                 1.0571,               0.004852,               0.004852,               0.004852
                     54,                0.83292,                0.82178,                 1.2919,                0.92066,                0.92231,                0.95961,                 0.8285,                0.57792,                0.41629,                 1.0555,               0.004753,               0.004753,               0.004753
                     55,                0.82111,                0.80828,                 1.2819,                0.93197,                0.91862,                0.96006,                0.82738,                0.57669,                 0.4194,                 1.0497,               0.004654,               0.004654,               0.004654
                     56,                0.83134,                0.81269,                 1.2877,                0.92123,                0.92167,                0.95673,                0.82731,                0.57327,                0.41492,                 1.0502,               0.004555,               0.004555,               0.004555
                     57,                0.81835,                0.79836,                 1.2794,                 0.9279,                0.92237,                0.95728,                0.82886,                0.57001,                0.40982,                 1.0501,               0.004456,               0.004456,               0.004456
                     58,                0.82058,                0.79987,                  1.283,                0.92603,                0.92274,                0.95903,                 0.8317,                 0.5693,                0.40447,                 1.0476,               0.004357,               0.004357,               0.004357
                     59,                0.81398,                0.79265,                 1.2756,                0.92766,                0.92628,                0.96038,                 0.8297,                0.57288,                0.40924,                 1.0513,               0.004258,               0.004258,               0.004258
